City,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
St. John’s,566.00 ,554.00 ,559.00 ,565.00 ,570.00 ,567.00 ,513.00 ,517.00 ,552.00 ,575.00 ,589.00 ,607.00 ,618.00 ,634.00 ,635.00 ,614.00 ,630.00 ,677.00 ,725.00 ,771.00 ,798.00 ,864.00 ,888.00 ,923.00 ,958.00 ,
Halifax,595.00 ,604.00 ,610.00 ,615.00 ,617.00 ,616.00 ,631.00 ,637.00 ,648.00 ,673.00 ,704.00 ,720.00 ,747.00 ,762.00 ,799.00 ,815.00 ,833.00 ,877.00 ,891.00 ,925.00 ,954.00 ,976.00 ,1005.00 ,1048.00 ,1063.00 ,
Moncton,469.00 ,479.00 ,495.00 ,504.00 ,513.00 ,523.00 ,531.00 ,538.00 ,560.00 ,561.00 ,578.00 ,588.00 ,611.00 ,612.00 ,636.00 ,643.00 ,656.00 ,675.00 ,691.00 ,715.00 ,731.00 ,742.00 ,762.00 ,760.00 ,798.00 ,
Saint John,429.00 ,436.00 ,439.00 ,437.00 ,441.00 ,449.00 ,452.00 ,457.00 ,460.00 ,483.00 ,492.00 ,504.00 ,520.00 ,526.00 ,556.00 ,570.00 ,618.00 ,644.00 ,645.00 ,670.00 ,691.00 ,691.00 ,714.00 ,718.00 ,720.00 ,
Saguenay,420.00 ,419.00 ,416.00 ,417.00 ,423.00 ,425.00 ,428.00 ,428.00 ,438.00 ,439.00 ,440.00 ,457.00 ,459.00 ,472.00 ,485.00 ,490.00 ,518.00 ,518.00 ,535.00 ,557.00 ,549.00 ,571.00 ,595.00 ,598.00 ,587.00 ,
Québec,501.00 ,502.00 ,501.00 ,513.00 ,511.00 ,513.00 ,513.00 ,511.00 ,518.00 ,538.00 ,550.00 ,567.00 ,596.00 ,621.00 ,637.00 ,641.00 ,653.00 ,676.00 ,692.00 ,718.00 ,741.00 ,757.00 ,775.00 ,788.00 ,808.00 ,
Sherbrooke ,408.00 ,418.00 ,420.00 ,422.00 ,426.00 ,426.00 ,433.00 ,434.00 ,437.00 ,446.00 ,456.00 ,471.00 ,495.00 ,505.00 ,515.00 ,529.00 ,543.00 ,553.00 ,566.00 ,577.00 ,578.00 ,591.00 ,604.00 ,608.00 ,622.00 ,
Trois-Rivières,395.00 ,400.00 ,402.00 ,406.00 ,405.00 ,406.00 ,411.00 ,403.00 ,413.00 ,419.00 ,431.00 ,436.00 ,457.00 ,474.00 ,488.00 ,487.00 ,505.00 ,520.00 ,533.00 ,547.00 ,550.00 ,555.00 ,568.00 ,581.00 ,587.00 ,
Montréal ,488.00 ,484.00 ,484.00 ,494.00 ,491.00 ,491.00 ,499.00 ,506.00 ,509.00 ,529.00 ,552.00 ,575.00 ,594.00 ,616.00 ,636.00 ,647.00 ,659.00 ,669.00 ,700.00 ,719.00 ,711.00 ,730.00 ,739.00 ,760.00 ,791.00 ,
Gatineau,513.00 ,519.00 ,528.00 ,536.00 ,537.00 ,530.00 ,529.00 ,534.00 ,544.00 ,573.00 ,599.00 ,639.00 ,663.00 ,660.00 ,667.00 ,662.00 ,677.00 ,690.00 ,711.00 ,731.00 ,743.00 ,744.00 ,750.00 ,751.00 ,762.00 ,
Ottawa,700.00 ,727.00 ,738.00 ,738.00 ,739.00 ,729.00 ,754.00 ,783.00 ,877.00 ,914.00 ,930.00 ,932.00 ,940.00 ,920.00 ,941.00 ,961.00 ,995.00 ,1028.00 ,1048.00 ,1086.00 ,1115.00 ,1132.00 ,1132.00 ,1174.00 ,1201.00 ,
Kingston,592.00 ,619.00 ,624.00 ,631.00 ,654.00 ,643.00 ,653.00 ,658.00 ,679.00 ,709.00 ,727.00 ,768.00 ,785.00 ,807.00 ,841.00 ,856.00 ,880.00 ,909.00 ,935.00 ,965.00 ,1005.00 ,1054.00 ,1070.00 ,1096.00 ,1119.00 ,
Peterborough,614.00 ,635.00 ,643.00 ,641.00 ,648.00 ,628.00 ,669.00 ,680.00 ,683.00 ,698.00 ,718.00 ,728.00 ,775.00 ,797.00 ,818.00 ,822.00 ,850.00 ,875.00 ,890.00 ,899.00 ,904.00 ,915.00 ,952.00 ,959.00 ,980.00 ,
Oshawa,651.00 ,659.00 ,659.00 ,689.00 ,700.00 ,691.00 ,726.00 ,745.00 ,778.00 ,799.00 ,819.00 ,845.00 ,852.00 ,855.00 ,861.00 ,877.00 ,889.00 ,900.00 ,903.00 ,941.00 ,939.00 ,985.00 ,1010.00 ,1035.00 ,1109.00 ,
Toronto,754.00 ,773.00 ,784.00 ,805.00 ,819.00 ,821.00 ,881.00 ,916.00 ,979.00 ,1027.00 ,1047.00 ,1040.00 ,1052.00 ,1052.00 ,1067.00 ,1061.00 ,1095.00 ,1096.00 ,1123.00 ,1149.00 ,1183.00 ,1213.00 ,1251.00 ,1288.00 ,1327.00 ,
Hamilton,574.00 ,599.00 ,602.00 ,614.00 ,625.00 ,636.00 ,662.00 ,698.00 ,719.00 ,740.00 ,765.00 ,778.00 ,789.00 ,791.00 ,796.00 ,824.00 ,836.00 ,831.00 ,862.00 ,884.00 ,886.00 ,932.00 ,959.00 ,1034.00 ,1037.00 ,
St. Catharines - Niagara,570.00 ,585.00 ,597.00 ,596.00 ,606.00 ,613.00 ,617.00 ,634.00 ,653.00 ,680.00 ,695.00 ,704.00 ,722.00 ,736.00 ,752.00 ,765.00 ,777.00 ,804.00 ,817.00 ,833.00 ,862.00 ,872.00 ,892.00 ,909.00 ,958.00 ,
Kitchener-Cambridge-Waterloo,593.00 ,597.00 ,591.00 ,616.00 ,623.00 ,630.00 ,641.00 ,660.00 ,697.00 ,722.00 ,750.00 ,754.00 ,765.00 ,811.00 ,824.00 ,829.00 ,845.00 ,856.00 ,872.00 ,889.00 ,908.00 ,952.00 ,975.00 ,997.00 ,1050.00 ,
Brantford,541.00 ,572.00 ,593.00 ,606.00 ,610.00 ,612.00 ,617.00 ,614.00 ,639.00 ,653.00 ,665.00 ,675.00 ,684.00 ,722.00 ,712.00 ,749.00 ,752.00 ,754.00 ,778.00 ,792.00 ,838.00 ,835.00 ,855.00 ,870.00 ,908.00 ,
Guelph,618.00 ,626.00 ,642.00 ,642.00 ,658.00 ,678.00 ,686.00 ,702.00 ,736.00 ,764.00 ,801.00 ,823.00 ,829.00 ,830.00 ,839.00 ,848.00 ,869.00 ,874.00 ,887.00 ,903.00 ,941.00 ,957.00 ,988.00 ,1027.00 ,1078.00 ,
London,594.00 ,615.00 ,629.00 ,636.00 ,640.00 ,636.00 ,637.00 ,639.00 ,657.00 ,683.00 ,705.00 ,736.00 ,758.00 ,775.00 ,790.00 ,816.00 ,834.00 ,896.00 ,869.00 ,881.00 ,919.00 ,924.00 ,943.00 ,963.00 ,1002.00 ,
Windsor,620.00 ,631.00 ,643.00 ,667.00 ,682.00 ,680.00 ,680.00 ,696.00 ,736.00 ,738.00 ,769.00 ,776.00 ,776.00 ,780.00 ,774.00 ,773.00 ,772.00 ,747.00 ,752.00 ,753.00 ,778.00 ,788.00 ,798.00 ,824.00 ,852.00 ,
Barrie,653.00 ,670.00 ,687.00 ,712.00 ,713.00 ,737.00 ,774.00 ,788.00 ,830.00 ,881.00 ,877.00 ,934.00 ,920.00 ,909.00 ,906.00 ,934.00 ,954.00 ,961.00 ,968.00 ,1001.00 ,1037.00 ,1048.00 ,1118.00 ,1167.00 ,1150.00 ,
Greater Sudbury/Grand Sudbury,594.00 ,610.00 ,610.00 ,621.00 ,624.00 ,619.00 ,623.00 ,612.00 ,619.00 ,620.00 ,647.00 ,651.00 ,655.00 ,668.00 ,706.00 ,749.00 ,800.00 ,830.00 ,840.00 ,881.00 ,915.00 ,914.00 ,927.00 ,953.00 ,990.00 ,
Thunder Bay,620.00 ,632.00 ,655.00 ,659.00 ,672.00 ,666.00 ,647.00 ,647.00 ,654.00 ,657.00 ,657.00 ,672.00 ,679.00 ,689.00 ,696.00 ,709.00 ,719.00 ,742.00 ,763.00 ,772.00 ,818.00 ,858.00 ,888.00 ,917.00 ,940.00 ,
Winnipeg,553.00 ,557.00 ,559.00 ,561.00 ,567.00 ,568.00 ,574.00 ,582.00 ,588.00 ,605.00 ,622.00 ,645.00 ,664.00 ,683.00 ,709.00 ,740.00 ,769.00 ,809.00 ,837.00 ,875.00 ,911.00 ,969.00 ,1016.00 ,1045.00 ,1068.00 ,
Regina,484.00 ,487.00 ,485.00 ,487.00 ,494.00 ,512.00 ,525.00 ,547.00 ,549.00 ,568.00 ,581.00 ,589.00 ,602.00 ,607.00 ,619.00 ,661.00 ,756.00 ,832.00 ,881.00 ,932.00 ,979.00 ,1018.00 ,1079.00 ,1097.00 ,1109.00 ,
Saskatoon,444.00 ,449.00 ,452.00 ,460.00 ,479.00 ,500.00 ,516.00 ,529.00 ,541.00 ,558.00 ,567.00 ,576.00 ,580.00 ,584.00 ,608.00 ,693.00 ,841.00 ,905.00 ,934.00 ,966.00 ,1002.00 ,1041.00 ,1091.00 ,1087.00 ,1100.00 ,
Calgary,598.00 ,584.00 ,585.00 ,584.00 ,595.00 ,635.00 ,707.00 ,739.00 ,740.00 ,783.00 ,804.00 ,804.00 ,806.00 ,808.00 ,960.00 ,1089.00 ,1148.00 ,1099.00 ,1069.00 ,1084.00 ,1150.00 ,1224.00 ,1322.00 ,1332.00 ,1258.00 ,
Edmonton,544.00 ,543.00 ,524.00 ,519.00 ,518.00 ,525.00 ,551.00 ,576.00 ,601.00 ,654.00 ,709.00 ,722.00 ,730.00 ,732.00 ,808.00 ,958.00 ,1034.00 ,1015.00 ,1015.00 ,1034.00 ,1071.00 ,1141.00 ,1227.00 ,1259.00 ,1229.00 ,
Kelowna,586.00 ,623.00 ,633.00 ,634.00 ,644.00 ,640.00 ,638.00 ,642.00 ,645.00 ,663.00 ,680.00 ,697.00 ,723.00 ,755.00 ,800.00 ,846.00 ,967.00 ,897.00 ,898.00 ,922.00 ,927.00 ,970.00 ,980.00 ,1002.00 ,1066.00 ,
Abbotsford-Mission,615.00 ,635.00 ,640.00 ,651.00 ,645.00 ,628.00 ,633.00 ,630.00 ,632.00 ,645.00 ,650.00 ,672.00 ,684.00 ,704.00 ,719.00 ,752.00 ,765.00 ,781.00 ,785.00 ,800.00 ,818.00 ,820.00 ,835.00 ,864.00 ,915.00 ,
Vancouver,771.00 ,790.00 ,812.00 ,826.00 ,845.00 ,852.00 ,870.00 ,864.00 ,890.00 ,919.00 ,954.00 ,965.00 ,984.00 ,1004.00 ,1045.00 ,1084.00 ,1124.00 ,1169.00 ,1195.00 ,1237.00 ,1261.00 ,1281.00 ,1311.00 ,1368.00 ,1450.00 ,
Victoria,684.00 ,703.00 ,713.00 ,715.00 ,717.00 ,724.00 ,722.00 ,728.00 ,731.00 ,751.00 ,771.00 ,789.00 ,799.00 ,837.00 ,874.00 ,907.00 ,965.00 ,1001.00 ,1024.00 ,1045.00 ,1059.00 ,1068.00 ,1095.00 ,1128.00 ,1188.00 ,
